id,source,object_type,name,display_name,authoritative,available_on_relationships,description,Keep/Remove,Reason,Comment
sample.benchling_tube_position,benchling,sample,benchling_tube_position,Tube Position,0,,Tube position in rack within freezer for sample according to STS,,,
sample.benchling_extraction_benchling_volume_ul_dna_max,benchling,sample,benchling_extraction_benchling_volume_ul_dna_max,Maximum DNA Extraction Volume Remaining,,,,,,
sample.benchling_tissue_prep_benchling_weight_mg_max,benchling,sample,benchling_tissue_prep_benchling_weight_mg_max,Maximum  Tissue Prep Weight Remaining,1,,,,,
sequencing_request.benchling_bt_id,benchling,sequencing_request,benchling_bt_id,B&T ID,,,Legacy B&T ID. You won't want to use this.,,,
sequencing_request.benchling_cc5_output_includes_kinetics_information,benchling,sequencing_request,benchling_cc5_output_includes_kinetics_information,CC5 Output Includes Kinetic Information,1,,,Remove,,
sequencing_request.benchling_completion_date,benchling,sequencing_request,benchling_completion_date,Completion date,1,,The date on which the sequencing request was completed in Benchling (i.e. passed over to SciOps).,,,
sequencing_request.benchling_eln_file_registry,benchling,sequencing_request,benchling_eln_file_registry,ELN File Registry,1,,,,,
sequencing_request.benchling_eln_file_registry_id,benchling,sequencing_request,benchling_eln_file_registry_id,ELN File Registry ID,1,,,Remove,,
sequencing_request.benchling_fluidx_id,benchling,sequencing_request,benchling_fluidx_id,FluidX ID,1,,Container barcode of the fluidX tube,,,
sequencing_request.benchling_gb_yield_of_ccs_data_required,benchling,sequencing_request,benchling_gb_yield_of_ccs_data_required,Gb Yield of CCS Data Required,1,,,,,
sequencing_request.benchling_include_5mc_cells_in_cpg_motifs,benchling,sequencing_request,benchling_include_5mc_cells_in_cpg_motifs,Include 5mc Cells In CPG Motifs,1,,,Remove,,
sequencing_request.benchling_library_type,benchling,sequencing_request,benchling_library_type,Library Type,1,,,,,
sequencing_request.benchling_nanodrop_260230,benchling,sequencing_request,benchling_nanodrop_260230,260/230 Ratio,1,,Ratio of absorbance at 260/230nm as measured by spectrophotometer,,,
sequencing_request.benchling_nanodrop_concentration_ngul,benchling,sequencing_request,benchling_nanodrop_concentration_ngul,Spectophotometer Concentration (ng/ul),1,,"DNA concentration reading from the spectrophotometer, if many were taken the most recent is shown",,,
sequencing_request.benchling_number_of_smrt_cells_required,benchling,sequencing_request,benchling_number_of_smrt_cells_required,Number of Smrt Cells Required,1,,,,,
sequencing_request.benchling_pipeline,benchling,sequencing_request,benchling_pipeline,Pipeline,1,,,,,
sequencing_request.benchling_plate_name,benchling,sequencing_request,benchling_plate_name,Plate Name,1,,,,,
sequencing_request.benchling_post_spri_concentration_ngul,benchling,sequencing_request,benchling_post_spri_concentration_ngul,Post SPRI Concentration (ng/ul),1,,,,,
sequencing_request.benchling_post_spri_volume_ul,benchling,sequencing_request,benchling_post_spri_volume_ul,Post SPRI Volume (ul),1,,,,,
sequencing_request.benchling_retention_instructions,benchling,sequencing_request,benchling_retention_instructions,Retention Instructions,1,,,,,
sequencing_request.benchling_sample_prep_additional_requirements,benchling,sequencing_request,benchling_sample_prep_additional_requirements,Sample Prep Additional Requirements,1,,,,,
sequencing_request.benchling_sequencing_platform,benchling,sequencing_request,benchling_sequencing_platform,Sequencing Platform,1,1,,,,
sequencing_request.benchling_sheared_femto_fragment_size_bp,benchling,sequencing_request,benchling_sheared_femto_fragment_size_bp,Sheared Femto Fragment Size (bp),1,,,,,
sequencing_request.benchling_source,benchling,sequencing_request,benchling_source,Source,1,,The route within Benchling that the sequencing request come via,,,
sequencing_request.benchling_submission_display_id,benchling,sequencing_request,benchling_submission_display_id,Submission Display ID,,,,,,
sequencing_request.benchling_submission_sample_id,benchling,sequencing_request,benchling_submission_sample_id,Submission Sample ID,1,,,,,
sequencing_request.benchling_submission_sample_name,benchling,sequencing_request,benchling_submission_sample_name,Submission Sample Name,1,,,,,
sequencing_request.benchling_tube_id,benchling,sequencing_request,benchling_tube_id,Tube ID,,,,,,
species.benchling_sequencing_request_benchling_completion_date_hic_min,benchling,species,benchling_sequencing_request_benchling_completion_date_hic_min,Earliest HiC Request,1,,The earliest HiC submission made for the species,,,
species.benchling_sequencing_request_benchling_completion_date_pacbio_min,benchling,species,benchling_sequencing_request_benchling_completion_date_pacbio_min,Earliest PacBio Request,1,,The earliest PacBio submission made for the species,,,
species.benchling_extraction_benchling_completion_date_max,benchling,species,benchling_extraction_benchling_completion_date_max,Latest Extraction Date,1,,The latest date an extraction of this species has been performed,Remove,,
species.benchling_extraction_benchling_completion_date_min,benchling,species,benchling_extraction_benchling_completion_date_min,Earliest Extraction Date,1,,The earliest date an extraction of this species has been performed,Remove,,
species.benchling_extraction_count,benchling,species,benchling_extraction_count,Number of extractions,1,,Number of extractions performed on the species,Remove,,
species.benchling_sample_count,benchling,species,benchling_sample_count,Number of Samples In Benchling,1,1,Samples of the species exported in Benchling,,,
species.benchling_sequencing_request_benchling_completion_date_hic_max,benchling,species,benchling_sequencing_request_benchling_completion_date_hic_max,Latest HiC Sequencing Request Completion Date,1,,,,,
species.benchling_sequencing_request_benchling_completion_date_rnaseq_max,benchling,species,benchling_sequencing_request_benchling_completion_date_rnaseq_max,Latest RNASeq Sequencing Request Completion Date,1,,,,,
species.benchling_sequencing_request_count,benchling,species,benchling_sequencing_request_count,Number of Sequencing Requests,1,,Count of total sequencing requests (of all platforms) made in Benchling,Remove,,
species.benchling_sequencing_request_hic_count,benchling,species,benchling_sequencing_request_hic_count,Number of HiC Sequencing Requests,1,,Count of total HiC sequencing requests made in Benchling,,,
species.benchling_sequencing_request_ont_count,benchling,species,benchling_sequencing_request_ont_count,Number of ONT Sequencing Requests,1,,,,,
species.benchling_sequencing_request_pacbio_count,benchling,species,benchling_sequencing_request_pacbio_count,Number of PacBio Sequencing Requests,1,,Count of total PacBio sequencing requests made in Benchling,,,
species.benchling_sequencing_request_rnaseq_count,benchling,species,benchling_sequencing_request_rnaseq_count,Number of RNASeq Sequencing Requests,1,,,,,
species.benchling_sequencing_request_wgs_count,benchling,species,benchling_sequencing_request_wgs_count,Number of WGS Sequencing Requests,1,,,,,
species.benchling_tissue_prep_benchling_sampleprep_date_max,benchling,species,benchling_tissue_prep_benchling_sampleprep_date_max,Date of Latest Tissue Prep,1,,,,,
species.benchling_tissue_prep_count,benchling,species,benchling_tissue_prep_count,Number of Tissue Preps,1,,,,,
species.benchling_extraction_benchling_volume_ul_dna_max,benchling,species,benchling_extraction_benchling_volume_ul_dna_max,Maximum DNA Extraction Volume Remaining,,,,,,
species.benchling_sample_benchling_remaining_weight_max,benchling,species,benchling_sample_benchling_remaining_weight_max,Maximum Tissue in Benchling Weight Remaining,,,,,,
species.benchling_tissue_prep_benchling_weight_mg_max,benchling,species,benchling_tissue_prep_benchling_weight_mg_max,Maximum  Tissue Prep Weight Remaining,,,,,,
tissue_prep.benchling_disruption_method,benchling,tissue_prep,benchling_disruption_method,Disruption Method,,1,"Bead beating, cryoprep, powermash, or NA if not recorded",,,
tissue_prep.benchling_downstream_protocol,benchling,tissue_prep,benchling_downstream_protocol,Downstream Protocol,1,1,,,,
tissue_prep.benchling_extraction_benchling_volume_ul_dna_max,benchling,tissue_prep,benchling_extraction_benchling_volume_ul_dna_max,Maximum DNA Extraction Volume Remaining,1,,,,,
tissue_prep.benchling_weight_mg,benchling,tissue_prep,benchling_weight_mg,Tissue Prep Weight (mg),,1,Weight of the tissue prep in mg,,,
tissue_prep.benchling_sampleprep_date,benchling,tissue_prep,benchling_sampleprep_date,Sample Prep Date,,,,,,
tissue_prep.benchling_tissue_prep_fluidx_id,benchling,tissue_prep,benchling_tissue_prep_fluidx_id,Fluidx ID,,,,,,
tissue_prep.benchling_tube_location,benchling,tissue_prep,benchling_tube_location,Tissue Prep Tube Location,,,,,,
tolid.benchling_extraction_count,benchling,tolid,benchling_extraction_count,Number of Extractions,,,,,,
tolid.benchling_sample_count,benchling,tolid,benchling_sample_count,Number of Samples Exported to Benchling,,,,,,
tolid.benchling_tissue_prep_benchling_sampleprep_date_max,benchling,tolid,benchling_tissue_prep_benchling_sampleprep_date_max,Latest Tissue Prep Date,,,,,,
tolid.benchling_tissue_prep_benchling_sampleprep_date_min,benchling,tolid,benchling_tissue_prep_benchling_sampleprep_date_min,Earliest Tissue Prep Date,,,,,,
tolid.benchling_tissue_prep_count,benchling,tolid,benchling_tissue_prep_count,Number of Tissue Preps,1,,,,,
tolid.benchling_pacbio_completed_sequencing_request_count,benchling,tolid,benchling_pacbio_completed_sequencing_request_count,Completed Pacbio Sequencing Requests,1,1,Number of Pacbio requests that have completed,,,
tolid.benchling_pacbio_sequencing_request_count,benchling,tolid,benchling_pacbio_sequencing_request_count,Total Pacbio Submissions to SciOps,1,1,Total number of Pacbio sequencing requests sent to SciOps.,,,
tolid.benchling_extraction_benchling_volume_ul_dna_max,benchling,tolid,benchling_extraction_benchling_volume_ul_dna_max,Maximum DNA Extraction Volume Remaining,,1,,,,
tolid.benchling_sample_benchling_remaining_weight_max,benchling,tolid,benchling_sample_benchling_remaining_weight_max,Maximum Tissue in Benchling Weight Remaining,1,1,,,,
tolid.benchling_tissue_prep_benchling_weight_mg_max,benchling,tolid,benchling_tissue_prep_benchling_weight_mg_max,Maximum  Tissue Prep Weight Remaining,,1,,,,
tolid .benchling_sequencing_request_count,benchling,tolid ,benchling_sequencing_request_count,Number of Sequencing Requests,1,,,,,
sequencing_request.benchling_priority,benchling,sequencing_request,benchling_priority,,,,,,,
tissue_prep.benchling_eln_tissue_id,benchling,tissue_prep,benchling_eln_tissue_id,,,,,,,
extraction.benchling_next_step,benchling,extraction,benchling_next_step,Next Step,,,The choice taken for the next step for an individual DNA extraction,,,
tissue_prep.benchling_eln_tissue_prep_name,benchling,tissue_prep,benchling_eln_tissue_prep_name,Tissue Prep Name,,,,,,
extraction.benchling_femto_date_code,benchling,extraction,benchling_femto_date_code,Femto Date Code,,,,,,
tissue_prep.benchling_tissue_prep_bnt_id,benchling,tissue_prep,benchling_tissue_prep_bnt_id,,,,,,,
sample.benchling_location,benchling,sample,benchling_location,,,,,,,
extraction.benchling_nanodrop_concentration_ngul,benchling,extraction,benchling_nanodrop_concentration_ngul,Nanodrop Concentration (ng/ul),,,,,,
